0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:14:34 -0700] "GET /storeWebPage/JSPs/image/bckground.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:14:36 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:14:36 -0700] "GET /storeWebPage/JSPs/image/bckground.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:14:37 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:14:37 -0700] "GET /storeWebPage/JSPs/image/bckground.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:14:38 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:14:38 -0700] "GET /storeWebPage/JSPs/image/bckground.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:16:09 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:16:09 -0700] "GET /storeWebPage/JSPs/%3Cc:url%20value='image/bckground.jpg'/%3E HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:16:10 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:16:10 -0700] "GET /storeWebPage/JSPs/%3Cc:url%20value='image/bckground.jpg'/%3E HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:16:13 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:16:13 -0700] "GET /storeWebPage/JSPs/%3Cc:url%20value='image/bckground.jpg'/%3E HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:19:31 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:19:31 -0700] "GET /storeWebPage/JSPs/%3Cc:url%20value='image/bckground.jpg'/%3E HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:20:27 -0700] "GET /storeWebPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:20:27 -0700] "GET /storeWebPage/images/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:20:32 -0700] "GET /storeWebPage/image HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:20:35 -0700] "GET /storeWebPage/images HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:20:35 -0700] "GET /storeWebPage/images/ HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:20:39 -0700] "GET /storeWebPage/images/background.jpg HTTP/1.1" 200 52032
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:21:36 -0700] "GET /storeWebPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:21:38 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:21:40 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:15 -0700] "GET /storeWebPage/images HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:15 -0700] "GET /storeWebPage/images/ HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:20 -0700] "GET /storeWebPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:22 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:22 -0700] "GET /storeWebPage/JSPs/$%7BpageContext.request.contextPath%7D/images/background.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:28 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:28 -0700] "GET /storeWebPage/JSPs/$%7BpageContext.request.contextPath%7D/images/background.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:35 -0700] "GET / HTTP/1.1" 200 11250
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:48 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:23:48 -0700] "GET /storeWebPage/JSPs/$%7BpageContext.request.contextPath%7D/images/background.jpg HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:29:52 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:29:52 -0700] "GET /images/background.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:29:52 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:29:52 -0700] "GET /images/background.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:31:14 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:31:14 -0700] "GET /storeWebPage/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:10 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:10 -0700] "GET /storeWebPage/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:11 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:11 -0700] "GET /storeWebPage/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:27 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:27 -0700] "GET /storeWebPage/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:27 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:35:28 -0700] "GET /storeWebPage/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:36:39 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:36:39 -0700] "GET /storeWebPage/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/login.jsp HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/css/custom.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/css/bootstrap.min.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/js/jquery-1.11.3.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/js/jquery.easing.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/js/custom.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/js/bootstrap.min.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/js/jquery.easing.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Apr/2016:18:40:33 -0700] "GET /storeWebPage/JSPs/js/custom.js HTTP/1.1" 404 1054
